Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,32.049999,32.310001,31.690001,32.139999,584600,30.341896
2013-03-01,30.02,32.709999,29.99,32.009998,173900,30.219168
2013-02-01,29.120001,30.780001,28.84,30.23,163700,28.350288
2013-01-02,28.49,29.559999,27.950001,28.90,186900,27.102987
2012-12-03,27.389999,27.969999,26.629999,27.93,119300,26.193304
2012-11-01,27.209999,28.23,24.870001,27.23,162400,25.339233
2012-10-01,26.83,28.450001,26.49,27.17,134400,25.283401
2012-09-04,27.33,28.16,26.629999,26.790001,244700,24.929789
2012-08-01,26.200001,27.639999,24.76,27.26,149800,25.173298
2012-07-02,24.379999,26.68,24.219999,26.00,155200,24.009748
2012-06-01,22.200001,24.379999,22.129999,24.25,225400,22.393707
2012-05-01,23.629999,24.27,22.41,22.59,159800,20.670641
2012-04-02,22.709999,23.879999,22.07,23.51,111400,21.512474
2012-03-01,21.52,23.309999,21.059999,22.799999,198700,20.862797
2012-02-01,22.280001,23.120001,21.299999,21.52,179300,19.50099
2012-01-03,20.809999,22.299999,19.790001,22.139999,111200,20.06282
2011-12-01,20.65,21.23,19.73,20.51,292300,18.585747
2011-11-01,19.74,21.66,18.969999,20.639999,577000,18.509972
2011-10-03,17.93,21.209999,16.469999,20.27,195200,18.178156
2011-09-01,20.09,20.370001,17.73,17.950001,207900,16.097578
2011-08-01,22.17,22.190001,17.790001,20.120001,250800,17.840136
2011-07-01,22.43,23.25,21.40,21.99,262500,19.49824
2011-06-01,22.43,23.34,21.139999,22.450001,179200,19.906115
2011-05-02,22.08,22.58,21.15,22.42,165700,19.685522
2011-04-01,21.299999,22.280001,21.10,22.08,217200,19.386992
2011-03-01,21.540001,21.690001,20.450001,21.27,450200,18.675783
2011-02-01,21.27,21.889999,20.610001,21.559999,238900,18.775469
2011-01-13,21.530001,22.00,20.879999,21.290001,1805600,18.540342
