Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.73,23.809999,23.559999,23.639999,198200,20.651421
2013-03-01,23.290001,23.59,22.120001,23.51,111200,20.537855
2013-02-01,23.10,23.60,21.92,23.25,100000,20.310724
2013-01-02,21.09,22.66,21.040001,22.66,104500,19.50732
2012-12-03,20.530001,21.290001,20.120001,20.74,84000,17.854448
2012-11-01,20.690001,20.93,18.299999,20.370001,112900,17.535927
2012-10-01,21.139999,22.00,20.190001,20.459999,86800,17.311897
2012-09-04,20.290001,21.15,20.040001,21.08,74200,17.8365
2012-08-01,20.58,22.00,20.00,20.280001,76600,17.159595
2012-07-02,19.610001,20.60,19.60,20.35,60100,16.94388
2012-06-01,18.59,23.93,17.93,19.48,93300,16.219498
2012-05-01,20.16,20.35,18.33,18.719999,90800,15.586704
2012-04-02,20.42,20.60,19.879999,20.110001,99400,16.462036
2012-03-01,20.200001,20.60,20.00,20.32,105700,16.633942
2012-02-01,19.93,20.370001,19.719999,20.10,131400,16.45385
2012-01-03,19.17,19.940001,19.10,19.870001,131900,16.000896
2011-12-01,18.74,19.360001,18.26,19.08,107400,15.364726
2011-11-01,17.940001,19.389999,17.67,18.84,107400,15.171459
2011-10-03,16.370001,18.870001,15.00,18.25,87500,14.440823
2011-09-01,19.10,19.190001,16.32,16.60,75000,13.135214
2011-08-01,19.85,19.879999,16.389999,19.00,100400,15.034281
2011-07-01,20.16,20.49,19.110001,19.690001,93200,15.580263
2011-06-14,20.15,20.309999,20.00,20.219999,48900,15.729293
