Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,27.559999,27.75,27.51,27.51,22600,24.627584
2013-03-01,27.540001,28.450001,27.299999,27.549999,13900,24.663391
2013-02-01,27.09,27.799999,27.09,27.42,21100,24.547014
2013-01-02,27.27,28.040001,27.01,27.09,27000,23.89407
2012-12-03,27.309999,27.690001,26.98,27.290001,12900,24.070475
2012-11-01,28.57,28.90,26.65,27.42,12700,24.185137
2012-10-01,28.059999,28.860001,28.01,28.48,16900,24.759832
2012-09-04,29.01,29.40,27.75,28.02,38200,24.359919
2012-08-01,29.25,29.42,27.709999,28.950001,24700,25.16844
2012-07-02,28.200001,28.76,27.99,28.610001,27200,24.528549
2012-06-01,27.18,28.309999,27.00,28.24,22600,24.21133
2012-05-01,27.690001,27.90,26.59,27.219999,34700,23.336842
2012-04-02,27.40,27.940001,26.75,27.75,32200,23.442526
2012-03-01,27.57,28.120001,26.60,27.27,54900,23.037033
2012-02-01,27.00,27.889999,26.82,27.459999,76900,23.197538
2012-01-03,27.040001,27.120001,26.50,27.00,189500,22.491596
2011-12-08,25.57,27.049999,25.50,26.860001,169300,22.374973
